name,address,aadhaar_number
Zilmil Mander,House No. 107 Road No. 10 Arya Ganj Firozabad Goa - 263065,	164156372876
Yashica Mukhopadhyay,House No. 196 Road No. 4 Loke Street Karaikudi Meghalaya - 504383,	898094588998
Naksh Nair,House No. 166 Road No. 2 Purohit Road Katni Uttarakhand - 628217,	783155301534
Anika Menon,House No. 76 Road No. 9 Nazareth Road Raipur Chhattisgarh - 120828,	256161713657
»  Chandani Dube,House No. 191 Road No. 4 Zachariah Zila Thoothukudi Punjab - 401065,	149542569744
Niharika Barad,House No. 190 Road No. 3 Kari Muzaffarnagar Punjab - 203086,	738123607107
Vritti Tailor,House No. 160 Road No. 1 Dugar Zila Purnia Goa - 094080,	762089912125
Ekavir Aggarwal,House No. 1 Road No. 19 Varkey Street Thiruvananthapuram Madhya Pradesh - 822835,	388751339488
Avi Gour,House No. 132 Road No. 7 Chaudhary Zila Ahmedabad Mizoram - 144096,	241130933010
Timothy Nadig,House No. 25 Road No. 5 Chatterjee Sultan Pur Majra Manipur - 117314,	543331606685
Yashoda Bhatt,House No. 71 Road No. 13 Mukherjee Nagar Udaipur Uttarakhand - 215397,	839048059739
Jason Sahota,House No. 168 Road No. 16 Hari Nagar Firozabad Arunachal Pradesh - 770318,	245265743100
Faris D’Alia,House No. 65 Road No. 14 Chhabra Zila Gaya Kerala - 108420,	561930863499
“ Ganga Loyal,House No. 95 Road No. 11 Manda Ganj Raebareli Telangana - 534722,	314524112335
Ridhi Deep,House No. 57 Road No. 12 Grover Street Purnia Odisha - 345049,	570874846739
Jacob Oza,House No. 3 Road No. 14 Lanka Marg Hindupur Nagaland - 921809,	431676894711
Nihal Mall,House No. 99 Road No. 4 Bhatnagar Chowk Latur Gujarat - 656736,	909021074479
Falan Misra,House No. 15 Road No. 10 More Nagar Kottayam Tamil Nadu - 499409,	225414064053
Aarav Biswas,House No. 154 Road No. 5 Ganesan Nagar Mirzapur Sikkim - 429690,	870798671993
Samuel Sidhu,House No. 124 Road No. 9 Bumb Vasai-Virar Rajasthan - 958786,	164837756453
