Name,DOB,Gender,Aadhaar_No,Address
Dev Basak,1980-11-13,Female,4634 1117 9053,"H.No. 663, Vala Marg, Loni 120177"
Arya Dhawan,1953-08-16,Male,1029 4042 2130,"76, Bajaj Chowk, South 565383"
Anjali Walla,2024-04-28,Male,1560 9022 8135,"H.No. 50, Nayak Marg, 068584"
Christopher Purohit,1953-04-06,Female,6403 4225 6460,"18/08, Raja Street, 242730"
Omya Dutta,1964-12-07,Male,4487 1304 5239,"37/339, Chana Nagar, 724883"
Manthan Virk,2009-11-30,Female,1168 8158 3773,"H.No. 022, Pandya Zila, 608180"
Yashvi Sanghvi,1930-04-09,Male,7356 5007 8235,"36/94, Divan Chowk, Thane 168590"
Nicholas Pillai,1956-01-10,Male,4888 3329 8331,"099, Naik Road, Suryapet 741527"
Laban Chanda,1912-08-19,Female,4848 2436 6874,"77/119, Thakkar Road, Pimpri-Chinchwad 815831"
Wahab Palla,1916-10-14,Male,1078 6498 3755,"H.No. 63, Reddy, Chittoor 319520"
Ekanta Master,1963-09-10,Female,5401 7866 8355,"H.No. 59, Bath, Saharanpur 955173"
Zilmil Menon,1999-04-10,Female,7205 8511 3319,"59/674, Bhavsar Road, 996399"
Wridesh Chander,1952-08-28,Male,8943 7579 3358,"61/57, Ramesh, Sagar 658523"
Onveer Khare,1992-02-16,Female,1560 6355 1374,"33/82, Hora, Saharanpur 448807"
Geetika Badami,1933-11-29,Female,4678 6613 5031,"H.No. 380, Chacko Circle, Phagwara 180851"
Vedhika Cherian,1965-02-18,Male,6010 2022 1134,"H.No. 055, Mitra Circle, 836689"
Naksh Biswas,1994-06-03,Male,3648 4100 4310,"H.No. 69, Talwar Ganj, Ludhiana 160050"
Yutika Raman,1951-07-01,Male,3339 5773 6040,"H.No. 166, Kannan Path, Rampur 212254"
Tanmayi Palla,2011-09-01,Female,4767 8807 9092,"82, Bhakta Circle, 772899"
Gavin Talwar,1927-09-12,Male,9687 3217 8905,"16, Date Road, Ambarnath 062761"
